entity1,entity2,relationship_type,question1,question2,question3,biomistral-7b_q1,biomistral-7b_q2,biomistral-7b_q3,gemma-3-4b_q1,gemma-3-4b_q2,gemma-3-4b_q3,gemma-4-e4b_q1,gemma-4-e4b_q2,gemma-4-e4b_q3,ii-medical-8b_q1,ii-medical-8b_q2,ii-medical-8b_q3,llama-3.1-8b_q1,llama-3.1-8b_q2,llama-3.1-8b_q3,medgemma-4b_q1,medgemma-4b_q2,medgemma-4b_q3,meditron-7b_q1,meditron-7b_q2,meditron-7b_q3,meerkat-7b_q1,meerkat-7b_q2,meerkat-7b_q3,mistral-7b_q1,mistral-7b_q2,mistral-7b_q3,qwen3-8b_q1,qwen3-8b_q2,qwen3-8b_q3,ultramed-3.1-8b_q1,ultramed-3.1-8b_q2,ultramed-3.1-8b_q3
tingling,carpal tunnel,symptom-disease,Is tingling a symptom?,Is carpal tunnel a disease?,Is tingling a symptom of carpal tunnel?,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
numbness,carpal tunnel,symptom-disease,Is numbness a symptom?,Is carpal tunnel a disease?,Is numbness a symptom of carpal tunnel?,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
shooting pain,carpal tunnel,symptom-disease,Is shooting pain a symptom?,Is carpal tunnel a disease?,Is shooting pain a symptom of carpal tunnel?,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no
tingling,cubital tunnel,symptom-disease,Is tingling a symptom?,Is cubital tunnel a disease?,Is tingling a symptom of cubital tunnel?,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes
numbness,cubital tunnel,symptom-disease,Is numbness a symptom?,Is cubital tunnel a disease?,Is numbness a symptom of cubital tunnel?,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes
shooting pain,cubital tunnel,symptom-disease,Is shooting pain a symptom?,Is cubital tunnel a disease?,Is shooting pain a symptom of cubital tunnel?,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,no,yes,yes,no,yes,yes,no,yes
tingling,sciatica,symptom-disease,Is tingling a symptom?,Is sciatica a disease?,Is tingling a symptom of sciatica?,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes
numbness,sciatica,symptom-disease,Is numbness a symptom?,Is sciatica a disease?,Is numbness a symptom of sciatica?,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes
shooting pain,sciatica,symptom-disease,Is shooting pain a symptom?,Is sciatica a disease?,Is shooting pain a symptom of sciatica?,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes
basilar stenosis,headaches,disease-symptom,Is basilar stenosis a disease?,Is headaches a symptom?,Is headaches a symptom of basilar stenosis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
blood thinners,stroke,drug-disease,Is blood thinners a drug?,Is stroke a disease?,Is blood thinners used to treat stroke?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes
anti-stroke medication,stroke,drug-disease,Is anti-stroke medication a drug?,Is stroke a disease?,Is anti-stroke medication used to treat stroke?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
headaches,basilar stenosis,symptom-disease,Is headaches a symptom?,Is basilar stenosis a disease?,Is headaches a symptom of basilar stenosis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
long covid,sensitive to heat,disease-symptom,Is long covid a disease?,Is sensitive to heat a symptom?,Is sensitive to heat a symptom of long covid?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Lovan,depression,drug-disease,Is Lovan a drug?,Is depression a disease?,Is Lovan used to treat depression?,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,,yes,,yes,yes,yes,yes,yes,yes,no,yes,yes
depression,tired,disease-symptom,Is depression a disease?,Is tired a symptom?,Is tired a symptom of depression?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
tired,depression,symptom-disease,Is tired a symptom?,Is depression a disease?,Is tired a symptom of depression?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
cauda equina syndrome,bowel/bladder incontinence,disease-symptom,Is cauda equina syndrome a disease?,Is bowel/bladder incontinence a symptom?,Is bowel/bladder incontinence a symptom of cauda equina syndrome?,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
cauda equina syndrome,numbness,disease-symptom,Is cauda equina syndrome a disease?,Is numbness a symptom?,Is numbness a symptom of cauda equina syndrome?,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
cauda equina syndrome,tingling,disease-symptom,Is cauda equina syndrome a disease?,Is tingling a symptom?,Is tingling a symptom of cauda equina syndrome?,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
cauda equina syndrome,back pain,disease-symptom,Is cauda equina syndrome a disease?,Is back pain a symptom?,Is back pain a symptom of cauda equina syndrome?,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
bowel/bladder incontinence,cauda equina syndrome,symptom-disease,Is bowel/bladder incontinence a symptom?,Is cauda equina syndrome a disease?,Is bowel/bladder incontinence a symptom of cauda equina syndrome?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes
numbness,cauda equina syndrome,symptom-disease,Is numbness a symptom?,Is cauda equina syndrome a disease?,Is numbness a symptom of cauda equina syndrome?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes
tingling,cauda equina syndrome,symptom-disease,Is tingling a symptom?,Is cauda equina syndrome a disease?,Is tingling a symptom of cauda equina syndrome?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes
back pain,cauda equina syndrome,symptom-disease,Is back pain a symptom?,Is cauda equina syndrome a disease?,Is back pain a symptom of cauda equina syndrome?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes
Lorazepam,liver injury,drug-disease,Is Lorazepam a drug?,Is liver injury a disease?,Is Lorazepam used to treat liver injury?,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,,yes,yes,no,yes,no,no,yes,no,no
liver injury,elevated ALT,disease-symptom,Is liver injury a disease?,Is elevated ALT a symptom?,Is elevated ALT a symptom of liver injury?,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,,,yes,yes,yes,no,no,no,no,yes,yes
liver injury,elevated AST,disease-symptom,Is liver injury a disease?,Is elevated AST a symptom?,Is elevated AST a symptom of liver injury?,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes
GAD,anxiety,disease-symptom,Is GAD a disease?,Is anxiety a symptom?,Is anxiety a symptom of GAD?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Panic Disorder,extreme distress,disease-symptom,Is Panic Disorder a disease?,Is extreme distress a symptom?,Is extreme distress a symptom of Panic Disorder?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
intrusive thoughts,OCD,symptom-disease,Is intrusive thoughts a symptom?,Is OCD a disease?,Is intrusive thoughts a symptom of OCD?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
flu,fever,disease-symptom,Is flu a disease?,Is fever a symptom?,Is fever a symptom of flu?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
flu,cough,disease-symptom,Is flu a disease?,Is cough a symptom?,Is cough a symptom of flu?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
flu,chills,disease-symptom,Is flu a disease?,Is chills a symptom?,Is chills a symptom of flu?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
fever,flu,symptom-disease,Is fever a symptom?,Is flu a disease?,Is fever a symptom of flu?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
cough,flu,symptom-disease,Is cough a symptom?,Is flu a disease?,Is cough a symptom of flu?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
chills,flu,symptom-disease,Is chills a symptom?,Is flu a disease?,Is chills a symptom of flu?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
bronchitis,slight cough,disease-symptom,Is bronchitis a disease?,Is slight cough a symptom?,Is slight cough a symptom of bronchitis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
inner ear infection,pressure,disease-symptom,Is inner ear infection a disease?,Is pressure a symptom?,Is pressure a symptom of inner ear infection?,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
amoxicillin,bronchitis,drug-disease,Is amoxicillin a drug?,Is bronchitis a disease?,Is amoxicillin used to treat bronchitis?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes
azithromycin,inner ear infection,drug-disease,Is azithromycin a drug?,Is inner ear infection a disease?,Is azithromycin used to treat inner ear infection?,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no
pulmonary embolism,chest pain,disease-symptom,Is pulmonary embolism a disease?,Is chest pain a symptom?,Is chest pain a symptom of pulmonary embolism?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
pulmonary embolism,breathlessness,disease-symptom,Is pulmonary embolism a disease?,Is breathlessness a symptom?,Is breathlessness a symptom of pulmonary embolism?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
amoxicillin,sinus infection,drug-disease,Is amoxicillin a drug?,Is sinus infection a disease?,Is amoxicillin used to treat sinus infection?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,yes,yes,yes,yes,yes,yes,yes,no,yes
Alprazolam ER,chronic insomnia,drug-disease,Is Alprazolam ER a drug?,Is chronic insomnia a disease?,Is Alprazolam ER used to treat chronic insomnia?,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no
Ambien,chronic insomnia,drug-disease,Is Ambien a drug?,Is chronic insomnia a disease?,Is Ambien used to treat chronic insomnia?,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes
Dozepin,chronic insomnia,drug-disease,Is Dozepin a drug?,Is chronic insomnia a disease?,Is Dozepin used to treat chronic insomnia?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes
Lamotrigine,seizure,drug-disease,Is Lamotrigine a drug?,Is seizure a disease?,Is Lamotrigine used to treat seizure?,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,no,yes,yes,no,yes
Melatonin,chronic insomnia,drug-disease,Is Melatonin a drug?,Is chronic insomnia a disease?,Is Melatonin used to treat chronic insomnia?,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes
Amitriptyline,chronic insomnia,drug-disease,Is Amitriptyline a drug?,Is chronic insomnia a disease?,Is Amitriptyline used to treat chronic insomnia?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no
Trazodone,chronic insomnia,drug-disease,Is Trazodone a drug?,Is chronic insomnia a disease?,Is Trazodone used to treat chronic insomnia?,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes
PTSD,shouts,disease-symptom,Is PTSD a disease?,Is shouts a symptom?,Is shouts a symptom of PTSD?,yes,no,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,yes
Holiday Heart,Afib,disease-symptom,Is Holiday Heart a disease?,Is Afib a symptom?,Is Afib a symptom of Holiday Heart?,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,no,no,yes,,,no,yes,yes,yes,no,no,yes,yes,no,yes
Candersartin,high blood pressure,drug-disease,Is Candersartin a drug?,Is high blood pressure a disease?,Is Candersartin used to treat high blood pressure?,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,no,yes,no,,yes,,yes,yes,yes,no,yes,no,no,yes,no
Clopidegral,stroke,drug-disease,Is Clopidegral a drug?,Is stroke a disease?,Is Clopidegral used to treat stroke?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no
Gastritis,nausea,disease-symptom,Is Gastritis a disease?,Is nausea a symptom?,Is nausea a symptom of Gastritis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
ulcer,vomiting,disease-symptom,Is ulcer a disease?,Is vomiting a symptom?,Is vomiting a symptom of ulcer?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
cancer,weight loss,disease-symptom,Is cancer a disease?,Is weight loss a symptom?,Is weight loss a symptom of cancer?,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
toothpaste allergy,allergic reaction,disease-symptom,Is toothpaste allergy a disease?,Is allergic reaction a symptom?,Is allergic reaction a symptom of toothpaste allergy?,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes
eczema,sensitive skin,disease-symptom,Is eczema a disease?,Is sensitive skin a symptom?,Is sensitive skin a symptom of eczema?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes
toothpaste allergy,mouth peels,disease-symptom,Is toothpaste allergy a disease?,Is mouth peels a symptom?,Is mouth peels a symptom of toothpaste allergy?,yes,yes,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,,no,no,no,yes,no,yes,yes,no,no,no,no
toothpaste allergy,tongue coated in thick white goop,disease-symptom,Is toothpaste allergy a disease?,Is tongue coated in thick white goop a symptom?,Is tongue coated in thick white goop a symptom of toothpaste allergy?,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,,yes,no,no,yes,no,yes,yes,no,no,yes,no
slurred speech,neurological disease,symptom-disease,Is slurred speech a symptom?,Is neurological disease a disease?,Is slurred speech a symptom of neurological disease?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
hallucinating,neurological disease,symptom-disease,Is hallucinating a symptom?,Is neurological disease a disease?,Is hallucinating a symptom of neurological disease?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
liver damage,nausea,disease-symptom,Is liver damage a disease?,Is nausea a symptom?,Is nausea a symptom of liver damage?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,,yes,yes,yes,no,yes,yes,no,yes,yes
liver damage,fatigue,disease-symptom,Is liver damage a disease?,Is fatigue a symptom?,Is fatigue a symptom of liver damage?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
liver damage,jaundice,disease-symptom,Is liver damage a disease?,Is jaundice a symptom?,Is jaundice a symptom of liver damage?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes
nausea,liver damage,symptom-disease,Is nausea a symptom?,Is liver damage a disease?,Is nausea a symptom of liver damage?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,,yes,yes,yes,yes,no,yes,yes,no,yes
fatigue,liver damage,symptom-disease,Is fatigue a symptom?,Is liver damage a disease?,Is fatigue a symptom of liver damage?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes
jaundice,liver damage,symptom-disease,Is jaundice a symptom?,Is liver damage a disease?,Is jaundice a symptom of liver damage?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,yes
lexapro,anxiety,drug-disease,Is lexapro a drug?,Is anxiety a disease?,Is lexapro used to treat anxiety?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,no,yes
buspar,anxiety,drug-disease,Is buspar a drug?,Is anxiety a disease?,Is buspar used to treat anxiety?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,yes,yes,yes,yes,no,yes
Zoloft,anxiety,drug-disease,Is Zoloft a drug?,Is anxiety a disease?,Is Zoloft used to treat anxiety?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
anxiety,dizziness,disease-symptom,Is anxiety a disease?,Is dizziness a symptom?,Is dizziness a symptom of anxiety?,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
anxiety,panic attacks,disease-symptom,Is anxiety a disease?,Is panic attacks a symptom?,Is panic attacks a symptom of anxiety?,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
LPR,trouble swallowing,disease-symptom,Is LPR a disease?,Is trouble swallowing a symptom?,Is trouble swallowing a symptom of LPR?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
GERD,trouble swallowing,disease-symptom,Is GERD a disease?,Is trouble swallowing a symptom?,Is trouble swallowing a symptom of GERD?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
shortness of breath,anxiety,symptom-disease,Is shortness of breath a symptom?,Is anxiety a disease?,Is shortness of breath a symptom of anxiety?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
giardiasis,egg burps,disease-symptom,Is giardiasis a disease?,Is egg burps a symptom?,Is egg burps a symptom of giardiasis?,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,yes
strangulated hernia,pain,disease-symptom,Is strangulated hernia a disease?,Is pain a symptom?,Is pain a symptom of strangulated hernia?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
strangulated hernia,visible bulge,disease-symptom,Is strangulated hernia a disease?,Is visible bulge a symptom?,Is visible bulge a symptom of strangulated hernia?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes
Duloxetine,Depression,drug-disease,Is Duloxetine a drug?,Is Depression a disease?,Is Duloxetine used to treat Depression?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Venlafaxine,Depression,drug-disease,Is Venlafaxine a drug?,Is Depression a disease?,Is Venlafaxine used to treat Depression?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Fluoxetine,Depression,drug-disease,Is Fluoxetine a drug?,Is Depression a disease?,Is Fluoxetine used to treat Depression?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Sertraline,Depression,drug-disease,Is Sertraline a drug?,Is Depression a disease?,Is Sertraline used to treat Depression?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Depression,Anhedonia/emotional blunting,disease-symptom,Is Depression a disease?,Is Anhedonia/emotional blunting a symptom?,Is Anhedonia/emotional blunting a symptom of Depression?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
