entity1,entity2,relationship_type,question1,question2,question3
Pepsid,heartburn,drug-disease,Is Pepsid a drug?,Is heartburn a disease?,Is Pepsid used to treat heartburn?
ectopic heartbeat,bizarre heartbeat,disease-symptom,Is ectopic heartbeat a disease?,Is bizarre heartbeat a symptom?,Is bizarre heartbeat a symptom of ectopic heartbeat?
teatree oil,rash,drug-disease,Is teatree oil a drug?,Is rash a disease?,Is teatree oil used to treat rash?
asthma,wheezing,disease-symptom,Is asthma a disease?,Is wheezing a symptom?,Is wheezing a symptom of asthma?
tachycardia,Pots,symptom-disease,Is tachycardia a symptom?,Is Pots a disease?,Is tachycardia a symptom of Pots?
tachycardia,Anxiety,symptom-disease,Is tachycardia a symptom?,Is Anxiety a disease?,Is tachycardia a symptom of Anxiety?
Diazepam,Anxiety,drug-disease,Is Diazepam a drug?,Is Anxiety a disease?,Is Diazepam used to treat Anxiety?
Levothyroxine,Hashimotos hypothyroidism,drug-disease,Is Levothyroxine a drug?,Is Hashimotos hypothyroidism a disease?,Is Levothyroxine used to treat Hashimotos hypothyroidism?
diabetes,frequent urination,disease-symptom,Is diabetes a disease?,Is frequent urination a symptom?,Is frequent urination a symptom of diabetes?
diabetes,increased thirst,disease-symptom,Is diabetes a disease?,Is increased thirst a symptom?,Is increased thirst a symptom of diabetes?
diabetes,itchy skin,disease-symptom,Is diabetes a disease?,Is itchy skin a symptom?,Is itchy skin a symptom of diabetes?
Mirikizumab,psoriasis,drug-disease,Is Mirikizumab a drug?,Is psoriasis a disease?,Is Mirikizumab used to treat psoriasis?
Cefalexin,osteomyelitis,drug-disease,Is Cefalexin a drug?,Is osteomyelitis a disease?,Is Cefalexin used to treat osteomyelitis?
Perindopril/Amlodopine,high blood pressure,drug-disease,Is Perindopril/Amlodopine a drug?,Is high blood pressure a disease?,Is Perindopril/Amlodopine used to treat high blood pressure?
hydralazine hydrochloride,high blood pressure,drug-disease,Is hydralazine hydrochloride a drug?,Is high blood pressure a disease?,Is hydralazine hydrochloride used to treat high blood pressure?
indapamide hemihydrate,high blood pressure,drug-disease,Is indapamide hemihydrate a drug?,Is high blood pressure a disease?,Is indapamide hemihydrate used to treat high blood pressure?
Pityriasis Rosea,flat rash,disease-symptom,Is Pityriasis Rosea a disease?,Is flat rash a symptom?,Is flat rash a symptom of Pityriasis Rosea?
Pityriasis Rosea,reddish rash,disease-symptom,Is Pityriasis Rosea a disease?,Is reddish rash a symptom?,Is reddish rash a symptom of Pityriasis Rosea?
cephalexin,kidney infection,drug-disease,Is cephalexin a drug?,Is kidney infection a disease?,Is cephalexin used to treat kidney infection?
kidney infection,malaise,disease-symptom,Is kidney infection a disease?,Is malaise a symptom?,Is malaise a symptom of kidney infection?
kidney infection,dizziness,disease-symptom,Is kidney infection a disease?,Is dizziness a symptom?,Is dizziness a symptom of kidney infection?
kidney infection,nausea,disease-symptom,Is kidney infection a disease?,Is nausea a symptom?,Is nausea a symptom of kidney infection?
kidney infection,hot flashes,disease-symptom,Is kidney infection a disease?,Is hot flashes a symptom?,Is hot flashes a symptom of kidney infection?
kidney infection,pain,disease-symptom,Is kidney infection a disease?,Is pain a symptom?,Is pain a symptom of kidney infection?
azithromycin,nodular acne,drug-disease,Is azithromycin a drug?,Is nodular acne a disease?,Is azithromycin used to treat nodular acne?
isotretinoin,nodular acne,drug-disease,Is isotretinoin a drug?,Is nodular acne a disease?,Is isotretinoin used to treat nodular acne?
abscess,pus,disease-symptom,Is abscess a disease?,Is pus a symptom?,Is pus a symptom of abscess?
ear infection,sharp pain,disease-symptom,Is ear infection a disease?,Is sharp pain a symptom?,Is sharp pain a symptom of ear infection?
ear infection drops,ear infection,drug-disease,Is ear infection drops a drug?,Is ear infection a disease?,Is ear infection drops used to treat ear infection?
Amoxicillin,otitis media,drug-disease,Is Amoxicillin a drug?,Is otitis media a disease?,Is Amoxicillin used to treat otitis media?
otitis media,muffled feeling,disease-symptom,Is otitis media a disease?,Is muffled feeling a symptom?,Is muffled feeling a symptom of otitis media?
otitis media,tinnitus,disease-symptom,Is otitis media a disease?,Is tinnitus a symptom?,Is tinnitus a symptom of otitis media?
ear infection,ear fullness,disease-symptom,Is ear infection a disease?,Is ear fullness a symptom?,Is ear fullness a symptom of ear infection?
ear infection,muffled feeling,disease-symptom,Is ear infection a disease?,Is muffled feeling a symptom?,Is muffled feeling a symptom of ear infection?
ear infection,tinnitus,disease-symptom,Is ear infection a disease?,Is tinnitus a symptom?,Is tinnitus a symptom of ear infection?
intussusception,stomach pain,disease-symptom,Is intussusception a disease?,Is stomach pain a symptom?,Is stomach pain a symptom of intussusception?
sepsis,multiple organ failure,disease-symptom,Is sepsis a disease?,Is multiple organ failure a symptom?,Is multiple organ failure a symptom of sepsis?
stomach pain,intussusception,symptom-disease,Is stomach pain a symptom?,Is intussusception a disease?,Is stomach pain a symptom of intussusception?
Epigastric hernia,pain,disease-symptom,Is Epigastric hernia a disease?,Is pain a symptom?,Is pain a symptom of Epigastric hernia?
antibiotics,strep throat,drug-disease,Is antibiotics a drug?,Is strep throat a disease?,Is antibiotics used to treat strep throat?
strep throat,nasty look in throat,disease-symptom,Is strep throat a disease?,Is nasty look in throat a symptom?,Is nasty look in throat a symptom of strep throat?
ingrown hair,itchiness,disease-symptom,Is ingrown hair a disease?,Is itchiness a symptom?,Is itchiness a symptom of ingrown hair?
ingrown hair,extreme pain,disease-symptom,Is ingrown hair a disease?,Is extreme pain a symptom?,Is extreme pain a symptom of ingrown hair?
ingrown/infected hair,red blotches,disease-symptom,Is ingrown/infected hair a disease?,Is red blotches a symptom?,Is red blotches a symptom of ingrown/infected hair?
hydrocortisone,itchiness,drug-disease,Is hydrocortisone a drug?,Is itchiness a disease?,Is hydrocortisone used to treat itchiness?
Neoparin,blood clots,drug-disease,Is Neoparin a drug?,Is blood clots a disease?,Is Neoparin used to treat blood clots?
Strep throat,sore throat,disease-symptom,Is Strep throat a disease?,Is sore throat a symptom?,Is sore throat a symptom of Strep throat?
Strep throat,difficulty swallowing,disease-symptom,Is Strep throat a disease?,Is difficulty swallowing a symptom?,Is difficulty swallowing a symptom of Strep throat?
azithromycin,Strep throat,drug-disease,Is azithromycin a drug?,Is Strep throat a disease?,Is azithromycin used to treat Strep throat?
urethritis,sharp pain,disease-symptom,Is urethritis a disease?,Is sharp pain a symptom?,Is sharp pain a symptom of urethritis?
urethritis,discharge,disease-symptom,Is urethritis a disease?,Is discharge a symptom?,Is discharge a symptom of urethritis?
sharp pain,urethritis,symptom-disease,Is sharp pain a symptom?,Is urethritis a disease?,Is sharp pain a symptom of urethritis?
discharge,urethritis,symptom-disease,Is discharge a symptom?,Is urethritis a disease?,Is discharge a symptom of urethritis?
labral tear,aching,disease-symptom,Is labral tear a disease?,Is aching a symptom?,Is aching a symptom of labral tear?
osteoarthritis,grinding,disease-symptom,Is osteoarthritis a disease?,Is grinding a symptom?,Is grinding a symptom of osteoarthritis?
osteoarthritis,popping noises,disease-symptom,Is osteoarthritis a disease?,Is popping noises a symptom?,Is popping noises a symptom of osteoarthritis?
osteoarthritis,pain,disease-symptom,Is osteoarthritis a disease?,Is pain a symptom?,Is pain a symptom of osteoarthritis?
steroid shot,osteoarthritis,drug-disease,Is steroid shot a drug?,Is osteoarthritis a disease?,Is steroid shot used to treat osteoarthritis?
shock,sweating,disease-symptom,Is shock a disease?,Is sweating a symptom?,Is sweating a symptom of shock?
Concerta,ADD,drug-disease,Is Concerta a drug?,Is ADD a disease?,Is Concerta used to treat ADD?
diaphragmatic rupture,difficulty breathing,disease-symptom,Is diaphragmatic rupture a disease?,Is difficulty breathing a symptom?,Is difficulty breathing a symptom of diaphragmatic rupture?
melanoma,Small black line,disease-symptom,Is melanoma a disease?,Is Small black line a symptom?,Is Small black line a symptom of melanoma?
ostheoarthrosis,knee pain,disease-symptom,Is ostheoarthrosis a disease?,Is knee pain a symptom?,Is knee pain a symptom of ostheoarthrosis?
Lymphoma,swollen lymph nodes,disease-symptom,Is Lymphoma a disease?,Is swollen lymph nodes a symptom?,Is swollen lymph nodes a symptom of Lymphoma?
Lymphoma,malaise,disease-symptom,Is Lymphoma a disease?,Is malaise a symptom?,Is malaise a symptom of Lymphoma?
Lymphoma,fatigue,disease-symptom,Is Lymphoma a disease?,Is fatigue a symptom?,Is fatigue a symptom of Lymphoma?
major depressive disorder,delusions,disease-symptom,Is major depressive disorder a disease?,Is delusions a symptom?,Is delusions a symptom of major depressive disorder?
generalized anxiety disorder,anxious,disease-symptom,Is generalized anxiety disorder a disease?,Is anxious a symptom?,Is anxious a symptom of generalized anxiety disorder?
PTSD,anxiety,disease-symptom,Is PTSD a disease?,Is anxiety a symptom?,Is anxiety a symptom of PTSD?
PTSD,fear,disease-symptom,Is PTSD a disease?,Is fear a symptom?,Is fear a symptom of PTSD?
cold,rash,disease-symptom,Is cold a disease?,Is rash a symptom?,Is rash a symptom of cold?
flu,rash,disease-symptom,Is flu a disease?,Is rash a symptom?,Is rash a symptom of flu?
skin disease,itchy,disease-symptom,Is skin disease a disease?,Is itchy a symptom?,Is itchy a symptom of skin disease?
herniated abdominal wall,abdominal bulge,disease-symptom,Is herniated abdominal wall a disease?,Is abdominal bulge a symptom?,Is abdominal bulge a symptom of herniated abdominal wall?
gastric cancer,blood loss,disease-symptom,Is gastric cancer a disease?,Is blood loss a symptom?,Is blood loss a symptom of gastric cancer?
gastric cancer,started vomiting,disease-symptom,Is gastric cancer a disease?,Is started vomiting a symptom?,Is started vomiting a symptom of gastric cancer?
Cephalexin,UTI,drug-disease,Is Cephalexin a drug?,Is UTI a disease?,Is Cephalexin used to treat UTI?
gallstones,pain,disease-symptom,Is gallstones a disease?,Is pain a symptom?,Is pain a symptom of gallstones?
acid reflux,indigestion,disease-symptom,Is acid reflux a disease?,Is indigestion a symptom?,Is indigestion a symptom of acid reflux?
pain,gallstones,symptom-disease,Is pain a symptom?,Is gallstones a disease?,Is pain a symptom of gallstones?
Dalacin,staph infection,drug-disease,Is Dalacin a drug?,Is staph infection a disease?,Is Dalacin used to treat staph infection?
staph infection,red dots,disease-symptom,Is staph infection a disease?,Is red dots a symptom?,Is red dots a symptom of staph infection?
staph infection,Wounds,disease-symptom,Is staph infection a disease?,Is Wounds a symptom?,Is Wounds a symptom of staph infection?
Liver Haemongioma,bloating,disease-symptom,Is Liver Haemongioma a disease?,Is bloating a symptom?,Is bloating a symptom of Liver Haemongioma?
Liver Haemongioma,pain,disease-symptom,Is Liver Haemongioma a disease?,Is pain a symptom?,Is pain a symptom of Liver Haemongioma?
clindamycin,strep,drug-disease,Is clindamycin a drug?,Is strep a disease?,Is clindamycin used to treat strep?
azithromycin,strep,drug-disease,Is azithromycin a drug?,Is strep a disease?,Is azithromycin used to treat strep?
strep,sore throat,disease-symptom,Is strep a disease?,Is sore throat a symptom?,Is sore throat a symptom of strep?
sore throat,strep,symptom-disease,Is sore throat a symptom?,Is strep a disease?,Is sore throat a symptom of strep?
hemmorrhoid,bleeding,disease-symptom,Is hemmorrhoid a disease?,Is bleeding a symptom?,Is bleeding a symptom of hemmorrhoid?
anemic,extreme fatigue,disease-symptom,Is anemic a disease?,Is extreme fatigue a symptom?,Is extreme fatigue a symptom of anemic?
Propranolol,performance anxiety,drug-disease,Is Propranolol a drug?,Is performance anxiety a disease?,Is Propranolol used to treat performance anxiety?
anxiety,fight or flight response,disease-symptom,Is anxiety a disease?,Is fight or flight response a symptom?,Is fight or flight response a symptom of anxiety?
penicillin,Allergic reaction,drug-disease,Is penicillin a drug?,Is Allergic reaction a disease?,Is penicillin used to treat Allergic reaction?
Allergic reaction,rash,disease-symptom,Is Allergic reaction a disease?,Is rash a symptom?,Is rash a symptom of Allergic reaction?
rash,Allergic reaction,symptom-disease,Is rash a symptom?,Is Allergic reaction a disease?,Is rash a symptom of Allergic reaction?
UTI,fever,disease-symptom,Is UTI a disease?,Is fever a symptom?,Is fever a symptom of UTI?
UTI,lower back pain,disease-symptom,Is UTI a disease?,Is lower back pain a symptom?,Is lower back pain a symptom of UTI?
amoxicillin,ear infections,drug-disease,Is amoxicillin a drug?,Is ear infections a disease?,Is amoxicillin used to treat ear infections?
C. Diff,diarrhea,disease-symptom,Is C. Diff a disease?,Is diarrhea a symptom?,Is diarrhea a symptom of C. Diff?
ear infections,swollen,disease-symptom,Is ear infections a disease?,Is swollen a symptom?,Is swollen a symptom of ear infections?
lupus,photosensitive,disease-symptom,Is lupus a disease?,Is photosensitive a symptom?,Is photosensitive a symptom of lupus?
hemmorhoids,tears,disease-symptom,Is hemmorhoids a disease?,Is tears a symptom?,Is tears a symptom of hemmorhoids?
Lupus,rash,disease-symptom,Is Lupus a disease?,Is rash a symptom?,Is rash a symptom of Lupus?
rash,Lupus,symptom-disease,Is rash a symptom?,Is Lupus a disease?,Is rash a symptom of Lupus?
fever,mystery sickness,symptom-disease,Is fever a symptom?,Is mystery sickness a disease?,Is fever a symptom of mystery sickness?
headache,mystery sickness,symptom-disease,Is headache a symptom?,Is mystery sickness a disease?,Is headache a symptom of mystery sickness?
stupor,mystery sickness,symptom-disease,Is stupor a symptom?,Is mystery sickness a disease?,Is stupor a symptom of mystery sickness?
body chills,mystery sickness,symptom-disease,Is body chills a symptom?,Is mystery sickness a disease?,Is body chills a symptom of mystery sickness?
vertigo,mystery sickness,symptom-disease,Is vertigo a symptom?,Is mystery sickness a disease?,Is vertigo a symptom of mystery sickness?
Tylenol,fever,drug-disease,Is Tylenol a drug?,Is fever a disease?,Is Tylenol used to treat fever?
Tylenol,headache,drug-disease,Is Tylenol a drug?,Is headache a disease?,Is Tylenol used to treat headache?
cancer,lump,disease-symptom,Is cancer a disease?,Is lump a symptom?,Is lump a symptom of cancer?
cirrhosis,splenomegaly,disease-symptom,Is cirrhosis a disease?,Is splenomegaly a symptom?,Is splenomegaly a symptom of cirrhosis?
small burn,pain,disease-symptom,Is small burn a disease?,Is pain a symptom?,Is pain a symptom of small burn?
vertebral compression fracture,pain,disease-symptom,Is vertebral compression fracture a disease?,Is pain a symptom?,Is pain a symptom of vertebral compression fracture?
anbesol liquid,ulcer,drug-disease,Is anbesol liquid a drug?,Is ulcer a disease?,Is anbesol liquid used to treat ulcer?
ulcer,pain,disease-symptom,Is ulcer a disease?,Is pain a symptom?,Is pain a symptom of ulcer?
depression,cutting,disease-symptom,Is depression a disease?,Is cutting a symptom?,Is cutting a symptom of depression?
Midazolam,seizure,drug-disease,Is Midazolam a drug?,Is seizure a disease?,Is Midazolam used to treat seizure?
edema,cardiac-type issues,symptom-disease,Is edema a symptom?,Is cardiac-type issues a disease?,Is edema a symptom of cardiac-type issues?
cyanosis,cardiac-type issues,symptom-disease,Is cyanosis a symptom?,Is cardiac-type issues a disease?,Is cyanosis a symptom of cardiac-type issues?
fatigue,cardiac-type issues,symptom-disease,Is fatigue a symptom?,Is cardiac-type issues a disease?,Is fatigue a symptom of cardiac-type issues?
lightheadedness,cardiac-type issues,symptom-disease,Is lightheadedness a symptom?,Is cardiac-type issues a disease?,Is lightheadedness a symptom of cardiac-type issues?
overactive bladder,urges,disease-symptom,Is overactive bladder a disease?,Is urges a symptom?,Is urges a symptom of overactive bladder?
Venlafaxine,GAD,drug-disease,Is Venlafaxine a drug?,Is GAD a disease?,Is Venlafaxine used to treat GAD?
Tramadol,fibromyalgia,drug-disease,Is Tramadol a drug?,Is fibromyalgia a disease?,Is Tramadol used to treat fibromyalgia?
sleep apnea,fatigued,disease-symptom,Is sleep apnea a disease?,Is fatigued a symptom?,Is fatigued a symptom of sleep apnea?
sleep apnea,daytime sleepiness,disease-symptom,Is sleep apnea a disease?,Is daytime sleepiness a symptom?,Is daytime sleepiness a symptom of sleep apnea?
POTS,lightheadedness/dizzy spells,disease-symptom,Is POTS a disease?,Is lightheadedness/dizzy spells a symptom?,Is lightheadedness/dizzy spells a symptom of POTS?
endometriosis,pain,disease-symptom,Is endometriosis a disease?,Is pain a symptom?,Is pain a symptom of endometriosis?
cannabis hyperemesis syndrome,nausea,disease-symptom,Is cannabis hyperemesis syndrome a disease?,Is nausea a symptom?,Is nausea a symptom of cannabis hyperemesis syndrome?
cannabis hyperemesis syndrome,dry heaving,disease-symptom,Is cannabis hyperemesis syndrome a disease?,Is dry heaving a symptom?,Is dry heaving a symptom of cannabis hyperemesis syndrome?
zofran,nausea,drug-disease,Is zofran a drug?,Is nausea a disease?,Is zofran used to treat nausea?
Omeprazole,ulcer,drug-disease,Is Omeprazole a drug?,Is ulcer a disease?,Is Omeprazole used to treat ulcer?
IBS,diarrhea,disease-symptom,Is IBS a disease?,Is diarrhea a symptom?,Is diarrhea a symptom of IBS?
PCOS,cysts,disease-symptom,Is PCOS a disease?,Is cysts a symptom?,Is cysts a symptom of PCOS?
PCOS,testosterone elevation,disease-symptom,Is PCOS a disease?,Is testosterone elevation a symptom?,Is testosterone elevation a symptom of PCOS?
PCOS,period absence,disease-symptom,Is PCOS a disease?,Is period absence a symptom?,Is period absence a symptom of PCOS?
whiplash,stiff,disease-symptom,Is whiplash a disease?,Is stiff a symptom?,Is stiff a symptom of whiplash?
whiplash,painful,disease-symptom,Is whiplash a disease?,Is painful a symptom?,Is painful a symptom of whiplash?
bruising,smashed finger,symptom-disease,Is bruising a symptom?,Is smashed finger a disease?,Is bruising a symptom of smashed finger?
swelling,smashed finger,symptom-disease,Is swelling a symptom?,Is smashed finger a disease?,Is swelling a symptom of smashed finger?
pain,smashed finger,symptom-disease,Is pain a symptom?,Is smashed finger a disease?,Is pain a symptom of smashed finger?
Brown Recluse Bite,dark red color,disease-symptom,Is Brown Recluse Bite a disease?,Is dark red color a symptom?,Is dark red color a symptom of Brown Recluse Bite?
Brown Recluse Bite,scab,disease-symptom,Is Brown Recluse Bite a disease?,Is scab a symptom?,Is scab a symptom of Brown Recluse Bite?
chest pain,heart attack,symptom-disease,Is chest pain a symptom?,Is heart attack a disease?,Is chest pain a symptom of heart attack?
shortness of breath,heart failure,symptom-disease,Is shortness of breath a symptom?,Is heart failure a disease?,Is shortness of breath a symptom of heart failure?
aspirin,heart attack,drug-disease,Is aspirin a drug?,Is heart attack a disease?,Is aspirin used to treat heart attack?
infection,low WBC,disease-symptom,Is infection a disease?,Is low WBC a symptom?,Is low WBC a symptom of infection?
Kidney infection,antibiotics,drug-disease,Is Kidney infection a drug?,Is antibiotics a disease?,Is Kidney infection used to treat antibiotics?
Kidney infection,Fever,disease-symptom,Is Kidney infection a disease?,Is Fever a symptom?,Is Fever a symptom of Kidney infection?
UTI,burning urination,disease-symptom,Is UTI a disease?,Is burning urination a symptom?,Is burning urination a symptom of UTI?
UTI,pain,disease-symptom,Is UTI a disease?,Is pain a symptom?,Is pain a symptom of UTI?
UTI,low grade fever,disease-symptom,Is UTI a disease?,Is low grade fever a symptom?,Is low grade fever a symptom of UTI?
burning urination,UTI,symptom-disease,Is burning urination a symptom?,Is UTI a disease?,Is burning urination a symptom of UTI?
pain,UTI,symptom-disease,Is pain a symptom?,Is UTI a disease?,Is pain a symptom of UTI?
low grade fever,UTI,symptom-disease,Is low grade fever a symptom?,Is UTI a disease?,Is low grade fever a symptom of UTI?
heart attack,chest pain,disease-symptom,Is heart attack a disease?,Is chest pain a symptom?,Is chest pain a symptom of heart attack?
heart attack,jaw pain,disease-symptom,Is heart attack a disease?,Is jaw pain a symptom?,Is jaw pain a symptom of heart attack?
chest pain,heart attack,symptom-disease,Is chest pain a symptom?,Is heart attack a disease?,Is chest pain a symptom of heart attack?
jaw pain,heart attack,symptom-disease,Is jaw pain a symptom?,Is heart attack a disease?,Is jaw pain a symptom of heart attack?
Humira,Crohn's disease,drug-disease,Is Humira a drug?,Is Crohn's disease a disease?,Is Humira used to treat Crohn's disease?
Crohn's disease,mouth ulcers,disease-symptom,Is Crohn's disease a disease?,Is mouth ulcers a symptom?,Is mouth ulcers a symptom of Crohn's disease?
Crohn's Disease,swollen lips,disease-symptom,Is Crohn's Disease a disease?,Is swollen lips a symptom?,Is swollen lips a symptom of Crohn's Disease?
Orofacial Granulomatosis,swollen lips,disease-symptom,Is Orofacial Granulomatosis a disease?,Is swollen lips a symptom?,Is swollen lips a symptom of Orofacial Granulomatosis?
Humira,Crohn's Disease,drug-disease,Is Humira a drug?,Is Crohn's Disease a disease?,Is Humira used to treat Crohn's Disease?
Steroid injections,Orofacial Granulomatosis,drug-disease,Is Steroid injections a drug?,Is Orofacial Granulomatosis a disease?,Is Steroid injections used to treat Orofacial Granulomatosis?
Antibiotics,Orofacial Granulomatosis,drug-disease,Is Antibiotics a drug?,Is Orofacial Granulomatosis a disease?,Is Antibiotics used to treat Orofacial Granulomatosis?
pcos,cysts,disease-symptom,Is pcos a disease?,Is cysts a symptom?,Is cysts a symptom of pcos?
metformin,pcos,drug-disease,Is metformin a drug?,Is pcos a disease?,Is metformin used to treat pcos?
adderall,adhd,drug-disease,Is adderall a drug?,Is adhd a disease?,Is adderall used to treat adhd?
xanax,anxiety,drug-disease,Is xanax a drug?,Is anxiety a disease?,Is xanax used to treat anxiety?
rizatriptan,migraines,drug-disease,Is rizatriptan a drug?,Is migraines a disease?,Is rizatriptan used to treat migraines?
metaxalone,back pain,drug-disease,Is metaxalone a drug?,Is back pain a disease?,Is metaxalone used to treat back pain?
rash,itchy,disease-symptom,Is rash a disease?,Is itchy a symptom?,Is itchy a symptom of rash?
anxiety,erection,disease-symptom,Is anxiety a disease?,Is erection a symptom?,Is erection a symptom of anxiety?
radiculopathy,pain,disease-symptom,Is radiculopathy a disease?,Is pain a symptom?,Is pain a symptom of radiculopathy?
radiculopathy,weakness,disease-symptom,Is radiculopathy a disease?,Is weakness a symptom?,Is weakness a symptom of radiculopathy?
radiculopathy,numbness,disease-symptom,Is radiculopathy a disease?,Is numbness a symptom?,Is numbness a symptom of radiculopathy?
myelopathy,exaggerated knee reflexes,disease-symptom,Is myelopathy a disease?,Is exaggerated knee reflexes a symptom?,Is exaggerated knee reflexes a symptom of myelopathy?
pelvic cramps,cervical disease,symptom-disease,Is pelvic cramps a symptom?,Is cervical disease a disease?,Is pelvic cramps a symptom of cervical disease?
random spotting,cervical disease,symptom-disease,Is random spotting a symptom?,Is cervical disease a disease?,Is random spotting a symptom of cervical disease?
painful intercourse,cervical disease,symptom-disease,Is painful intercourse a symptom?,Is cervical disease a disease?,Is painful intercourse a symptom of cervical disease?
tender cervix,cervical disease,symptom-disease,Is tender cervix a symptom?,Is cervical disease a disease?,Is tender cervix a symptom of cervical disease?
tinnitus,ringing,disease-symptom,Is tinnitus a disease?,Is ringing a symptom?,Is ringing a symptom of tinnitus?
Flu,fever,disease-symptom,Is Flu a disease?,Is fever a symptom?,Is fever a symptom of Flu?
Flu,cough,disease-symptom,Is Flu a disease?,Is cough a symptom?,Is cough a symptom of Flu?
Viral myositis,painful lower legs,disease-symptom,Is Viral myositis a disease?,Is painful lower legs a symptom?,Is painful lower legs a symptom of Viral myositis?
Sertraline,depression,drug-disease,Is Sertraline a drug?,Is depression a disease?,Is Sertraline used to treat depression?
sexual dysfunction,sexual fluid,disease-symptom,Is sexual dysfunction a disease?,Is sexual fluid a symptom?,Is sexual fluid a symptom of sexual dysfunction?
Clotrimazole,jock itch,drug-disease,Is Clotrimazole a drug?,Is jock itch a disease?,Is Clotrimazole used to treat jock itch?
depression,motivation issues,disease-symptom,Is depression a disease?,Is motivation issues a symptom?,Is motivation issues a symptom of depression?
chemo,Hodgkin cancer,drug-disease,Is chemo a drug?,Is Hodgkin cancer a disease?,Is chemo used to treat Hodgkin cancer?
steroids,allergic reactions,drug-disease,Is steroids a drug?,Is allergic reactions a disease?,Is steroids used to treat allergic reactions?
allergic reactions,hives,disease-symptom,Is allergic reactions a disease?,Is hives a symptom?,Is hives a symptom of allergic reactions?
allergic reactions,swelling,disease-symptom,Is allergic reactions a disease?,Is swelling a symptom?,Is swelling a symptom of allergic reactions?
allergic reactions,tongue swells,disease-symptom,Is allergic reactions a disease?,Is tongue swells a symptom?,Is tongue swells a symptom of allergic reactions?
allergic reactions,throat closed,disease-symptom,Is allergic reactions a disease?,Is throat closed a symptom?,Is throat closed a symptom of allergic reactions?
seizure,lamotrigine,drug-disease,Is seizure a drug?,Is lamotrigine a disease?,Is seizure used to treat lamotrigine?
hives,allergic reactions,symptom-disease,Is hives a symptom?,Is allergic reactions a disease?,Is hives a symptom of allergic reactions?
drug,HBP,drug-disease,Is drug a drug?,Is HBP a disease?,Is drug used to treat HBP?
Doxycycline,Hidradenitis Suppurativa,drug-disease,Is Doxycycline a drug?,Is Hidradenitis Suppurativa a disease?,Is Doxycycline used to treat Hidradenitis Suppurativa?
Adalimumab,Hidradenitis Suppurativa,drug-disease,Is Adalimumab a drug?,Is Hidradenitis Suppurativa a disease?,Is Adalimumab used to treat Hidradenitis Suppurativa?
flu,cough,disease-symptom,Is flu a disease?,Is cough a symptom?,Is cough a symptom of flu?
dry cough,flu,symptom-disease,Is dry cough a symptom?,Is flu a disease?,Is dry cough a symptom of flu?
heart arrhythmia,heart rate,disease-symptom,Is heart arrhythmia a disease?,Is heart rate a symptom?,Is heart rate a symptom of heart arrhythmia?
infections,pain,disease-symptom,Is infections a disease?,Is pain a symptom?,Is pain a symptom of infections?
corticosteroids,toxicity,drug-disease,Is corticosteroids a drug?,Is toxicity a disease?,Is corticosteroids used to treat toxicity?
headaches,cervical spine spondylitic change,symptom-disease,Is headaches a symptom?,Is cervical spine spondylitic change a disease?,Is headaches a symptom of cervical spine spondylitic change?
UTI,pain,disease-symptom,Is UTI a disease?,Is pain a symptom?,Is pain a symptom of UTI?
kidney stone,pain,disease-symptom,Is kidney stone a disease?,Is pain a symptom?,Is pain a symptom of kidney stone?
autonomic neuropathy,night sweats,disease-symptom,Is autonomic neuropathy a disease?,Is night sweats a symptom?,Is night sweats a symptom of autonomic neuropathy?
pneumonia,haziness in lung,disease-symptom,Is pneumonia a disease?,Is haziness in lung a symptom?,Is haziness in lung a symptom of pneumonia?
Risperidone,MDD,drug-disease,Is Risperidone a drug?,Is MDD a disease?,Is Risperidone used to treat MDD?
Mirtazapine,MDD,drug-disease,Is Mirtazapine a drug?,Is MDD a disease?,Is Mirtazapine used to treat MDD?
Hydroxyzine,GAD,drug-disease,Is Hydroxyzine a drug?,Is GAD a disease?,Is Hydroxyzine used to treat GAD?
Seizures,convulsions,disease-symptom,Is Seizures a disease?,Is convulsions a symptom?,Is convulsions a symptom of Seizures?
hep b vaccine,hep b,drug-disease,Is hep b vaccine a drug?,Is hep b a disease?,Is hep b vaccine used to treat hep b?
pantoprazole,acid reflux,drug-disease,Is pantoprazole a drug?,Is acid reflux a disease?,Is pantoprazole used to treat acid reflux?
acid reflux,chronic pharyngitis,disease-symptom,Is acid reflux a disease?,Is chronic pharyngitis a symptom?,Is chronic pharyngitis a symptom of acid reflux?
GERD,cough,disease-symptom,Is GERD a disease?,Is cough a symptom?,Is cough a symptom of GERD?
burn,painful,disease-symptom,Is burn a disease?,Is painful a symptom?,Is painful a symptom of burn?
burn,swelling,disease-symptom,Is burn a disease?,Is swelling a symptom?,Is swelling a symptom of burn?
bacterial meningitis,headache,disease-symptom,Is bacterial meningitis a disease?,Is headache a symptom?,Is headache a symptom of bacterial meningitis?
bacterial meningitis,vomiting,disease-symptom,Is bacterial meningitis a disease?,Is vomiting a symptom?,Is vomiting a symptom of bacterial meningitis?
headache,bacterial meningitis,symptom-disease,Is headache a symptom?,Is bacterial meningitis a disease?,Is headache a symptom of bacterial meningitis?
vomiting,bacterial meningitis,symptom-disease,Is vomiting a symptom?,Is bacterial meningitis a disease?,Is vomiting a symptom of bacterial meningitis?
ceftriaxone,bacterial meningitis,drug-disease,Is ceftriaxone a drug?,Is bacterial meningitis a disease?,Is ceftriaxone used to treat bacterial meningitis?
